Time,Cond,Plate,ProportionUnbalanced
9.608,arrest,d118b_15,0.067
10.408,arrest,d118b_15,0.067
11.208,arrest,d118b_15,0.067
12.008,arrest,d118b_15,0.000
12.808,arrest,d118b_15,0.000
13.608,arrest,d118b_15,0.000
0.008,control,d118b_16,0.133
0.808,control,d118b_16,0.067
1.608,control,d118b_16,0.067
2.408,control,d118b_16,0.000
3.208,control,d118b_16,0.000
4.008,control,d118b_16,0.000
4.808,control,d118b_16,0.000
5.608,control,d118b_16,0.000
6.408,control,d118b_16,0.000
7.208,control,d118b_16,0.000
8.008,control,d118b_16,0.000
8.808,control,d118b_16,0.000
9.608,control,d118b_16,0.000
10.408,control,d118b_16,0.000
11.208,control,d118b_16,0.000
12.008,control,d118b_16,0.000
12.808,control,d118b_16,0.000
13.608,control,d118b_16,0.000
0.008,arrest,d118b_17,0.667
0.808,arrest,d118b_17,0.533
1.608,arrest,d118b_17,0.333
2.408,arrest,d118b_17,0.200
3.208,arrest,d118b_17,0.133
4.008,arrest,d118b_17,0.133
4.808,arrest,d118b_17,0.133
5.608,arrest,d118b_17,0.133
6.408,arrest,d118b_17,0.067
7.208,arrest,d118b_17,0.000
8.008,arrest,d118b_17,0.000
8.808,arrest,d118b_17,0.000
9.608,arrest,d118b_17,0.000
10.408,arrest,d118b_17,0.000
11.208,arrest,d118b_17,0.000
12.008,arrest,d118b_17,0.000
12.808,arrest,d118b_17,0.000
13.608,arrest,d118b_17,0.000
