Fish,Stimulus_dB,Blk00,Blk01,Blk02,Blk03,Blk04,Blk05,Blk06,Blk07,Blk08,Blk09,Blk10,Blk11,Blk12,Blk13,Blk14,Blk15,Blk16,Blk17,Blk18,Blk19,Blk20,Blk21,Blk22,Blk23,Blk24,Blk25,Blk26,Blk27,Blk28,Blk29,Blk30,Blk31,Blk32,Blk33,Blk34,Blk35,Blk36,Blk37,Blk38,Blk39,Blk40,Blk41,Blk42,Blk43,Blk44,Blk45,Blk46,Blk47,Blk48,Blk49,Blk50,Blk51,Blk52,Blk53,Blk54,Blk55,Blk56,Blk57,Blk58,Blk59,Blk60,Blk61,Blk62,Blk63,Blk64,Blk65
track_tld7_a2p0_01_e00000-f04,26,45.66835,39.38516,32.91310,29.23135,30.70568,24.46063,18.26612,41.35910,27.60839,33.21259,48.08092,42.82376,28.83510,33.54836,27.90769,26.63287,22.00795,22.93888,17.41402,30.53066,24.60444,57.77979,39.88310,34.24960,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.54658,2.09287,65.22143,1.72813,0.97066,4.70065,0.28195,0.29286,0.25839,0.28655,0.95730,31.27212,24.32456,13.15149,27.29243,53.78983,51.16628,66.56316,41.50954,34.28670,39.55934,39.45941,34.67173,36.89275,43.22435,36.44731,22.96718,28.77783,31.26842,43.19510,46.49510,32.56251,42.85928,24.36246,31.68523,31.55733
track_tld7_a2p0_01_e00000-f05,26,26.33277,12.86276,22.59580,17.98870,26.13167,58.25403,26.50736,51.97109,41.55240,24.26997,31.72907,19.34358,49.61258,15.88380,38.63602,29.27641,34.93520,41.89464,30.69129,26.18954,25.87490,31.71276,55.93843,31.75641,30.56230,26.64551,32.61707,13.64895,20.88402,31.11946,30.39395,37.37641,33.54122,36.99984,62.27862,33.71142,20.20345,44.44710,47.34806,41.50679,43.89549,56.12492,36.47253,41.88200,21.34558,36.69048,40.95905,52.37444,42.24734,47.77267,49.36515,34.35709,50.19748,51.89789,36.75691,43.75971,49.00533,38.71029,30.47944,31.96199,22.13679,51.55787,55.66684,46.74415,33.99002,28.52786
track_tld7_a2p0_01_e00000-f06,26,40.98381,22.40791,28.51493,57.50161,15.01075,28.77181,34.10553,24.82390,35.55224,24.77261,38.49312,36.06137,57.26125,30.33259,40.61115,34.11314,33.56395,25.82210,42.10083,33.77255,41.25898,38.90354,39.27393,45.35199,10.55558,41.30133,24.84370,22.36857,33.59478,35.31154,28.60866,19.62006,48.90664,25.04313,44.48736,19.62569,44.42101,17.40673,25.73409,37.12809,23.25206,27.53563,38.06794,35.52059,38.02969,11.65203,53.84397,19.27731,37.44888,29.53744,25.27336,27.03598,56.65028,63.95571,17.54998,24.74232,10.28248,27.99939,28.16348,25.81247,34.07880,23.69144,12.02396,30.28483,8.10366,26.28411
track_tld7_a2p0_01_e00000-f07,26,46.19511,47.05408,26.93500,45.70646,21.42020,29.09658,52.71446,41.41700,50.50755,55.39451,42.01270,32.17590,35.00324,37.82984,37.06123,28.42039,50.95741,51.69905,20.91269,36.84964,36.16040,19.12506,35.58041,47.82976,25.73166,31.56978,33.28484,38.05690,50.35766,36.18689,38.73011,42.57382,43.58406,42.23644,44.74074,45.08139,28.69837,37.21096,52.85551,45.18538,57.83428,69.92669,42.89810,50.43828,33.12877,24.62737,52.98230,51.76012,36.77962,29.45343,40.19493,25.95827,42.40892,35.75074,60.46724,30.78532,52.22139,32.46947,51.07170,29.67481,23.72978,42.59478,50.54935,18.84167,41.35286,32.15195
track_tld7_a2p0_01_e00000-f08,26,54.01907,31.86365,48.34788,50.51468,60.08006,19.27069,39.46057,40.15211,33.41563,65.44578,54.73093,40.20578,35.51535,37.68611,34.10421,49.61348,50.51429,34.63178,41.98045,27.14031,37.98747,27.49683,56.39201,55.77203,38.75433,36.02428,18.56075,46.08822,59.24038,34.03548,37.06432,33.50646,36.13421,46.89589,28.41877,49.71534,13.83864,17.30300,27.54838,30.82155,32.51873,33.86825,36.81099,43.03837,33.12188,53.11280,22.49611,32.48861,27.50844,26.27944,38.33246,33.33776,31.19124,27.84531,37.72744,37.20701,41.94080,27.26687,36.02942,40.50522,35.11045,11.89386,26.58670,51.33931,21.28503,54.44317
track_tld7_a2p0_01_e00000-f09,26,35.21338,52.43124,14.43030,21.98364,36.38122,24.83836,33.60962,51.70337,47.32943,34.17858,31.42739,39.39998,39.90753,25.07502,25.72706,35.38518,30.91809,27.52443,33.59523,47.73175,32.54762,27.49293,48.22615,24.87708,33.16571,43.43540,40.39503,44.70241,38.01008,45.79547,71.70890,46.09073,41.49450,37.36626,45.76806,37.90535,69.14661,39.78920,33.10123,27.95893,93.90643,31.03582,24.92538,35.95860,44.15932,44.97185,30.72479,55.12616,30.68378,43.79205,30.83646,36.21230,30.07604,32.69120,34.71446,24.62939,20.67914,42.02303,34.44837,33.68330,33.95574,26.65506,29.53330,32.21348,48.59803,33.76149
track_tld7_a2p0_01_e00066-f01,26,36.19682,41.30864,47.10960,58.44816,41.91910,41.25761,46.13060,40.82078,23.74884,35.76651,41.71590,33.95439,38.68688,39.82192,46.82924,41.82407,51.11714,31.70924,34.77515,52.25394,48.91337,40.82907,38.02259,48.62440,21.58843,24.30595,30.64471,44.99203,41.91903,39.02974,20.86628,49.11496,55.16597,40.03037,43.02846,34.93945,49.65816,35.43206,20.64282,15.84356,44.87932,42.37093,40.96631,40.56102,26.69067,37.89632,50.51202,35.71494,43.77052,40.72051,27.71832,40.86642,60.44096,40.71785,25.45008,42.78093,17.97813,33.07992,48.17841,20.98554,47.75421,36.96926,47.71999,13.70758,29.84090,37.70169
track_tld7_a2p0_01_e00066-f02,26,0.23317,0.31276,0.32101,0.26993,0.86091,0.51856,0.36881,0.94525,0.37818,0.57956,1.04820,0.77771,0.85975,0.73075,0.48482,0.78668,0.88052,0.91597,0.60594,1.04083,0.56061,0.93219,0.71709,0.83595,3.69810,0.76825,0.48933,0.50985,0.93163,1.20775,0.29606,0.66512,1.14276,1.62734,0.93437,1.34700,2.14207,1.00768,0.75471,0.71887,1.31881,0.95357,0.87577,0.47719,0.60880,7.35684,5.70407,6.20029,4.08193,6.86739,2.50360,5.80401,5.92265,14.01964,5.57835,9.16502,12.58883,8.97058,14.27550,20.39418,24.77318,14.25520,10.20418,18.84056,32.24348,15.49218
track_tld7_a2p0_01_e00066-f03,26,26.21958,32.74671,18.38247,29.66479,12.37249,31.17987,34.72542,19.96178,43.80150,26.13194,33.31343,37.08723,37.77702,49.06284,31.20032,26.72054,26.22241,25.90552,43.92836,31.86219,44.49230,33.78275,30.73543,40.06870,8.85654,24.13648,30.92816,14.93676,35.77860,32.80426,21.72452,18.61696,20.10909,22.81474,18.31742,27.49299,29.55326,38.17720,25.32827,31.12168,36.49792,38.34278,42.15847,45.33308,30.20008,52.53437,38.55506,37.24353,26.08360,49.48819,46.96998,29.12644,32.44367,38.27782,27.75948,38.25995,56.23880,44.88383,48.66565,32.82277,45.64758,21.08798,45.10457,45.84230,35.16898,36.07313
track_tld7_a2p0_01_e00066-f04,26,38.33944,34.59166,38.93515,35.31688,32.54425,33.72637,32.48043,33.67400,53.49703,30.07712,31.70639,26.86323,37.84515,52.52211,40.10944,28.42818,39.16090,31.83258,31.92863,31.71170,32.93650,30.03366,29.73665,34.78584,2.07418,18.37773,27.45606,32.55374,41.48578,16.97539,30.35030,32.77568,28.50335,30.86355,33.34960,35.00927,27.00883,25.39748,40.46342,42.36510,34.68074,39.79479,38.16204,33.71235,23.74620,45.45242,22.49495,45.18985,21.68053,31.08182,28.32792,37.39718,43.76038,28.48495,40.36046,35.40429,42.57879,21.86315,45.34246,25.38475,37.34661,33.76799,36.36781,32.78740,50.76869,41.49315
